Expression,Lemmatized_Form,Type,Confidence,Length,Source_URL
"die Nationalsprache Tok","die nationalsprach tok","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Alsace et","alsace et","COLLOCATION",0,931,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"20 Prozent","20 prozent","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"IBU Union","ibu union","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Texasdeutsch sind","texasdeutsch sind","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom 20","vom 20","COLLOCATION",0,544,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom 24","vom 24","COLLOCATION",0,772,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"etwa 15.000","etwa 15.000","COLLOCATION",0,898,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus eingewandert","aus eingewandert","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den Sprechern wird","den sprechern wird","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"sich hauptsächlich","sich hauptsächlich","COLLOCATION",0,701,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mit deutschem","mit deutschem","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"dem Französischen","dem französischen","COLLOCATION",0,615,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Website des","website des","COLLOCATION",0,636,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zermatt","zermatt","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Süddeutschland und","süddeutschland und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wirkten wie","wirkt wie","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Allgemeine","allgemeine","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus germanischen","aus germanischen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Prägung","prägung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom 28","vom 28","COLLOCATION",0,808,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"( PDF","( pdf","COLLOCATION",0,545,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Hunsrückisch","hunsrückisch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein Prozent der","ein prozent der","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nordgermanischen Sprachen","nordgermanischen sprachen","COLLOCATION",0,881,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Friesisch","friesisch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Deutschland ?","deutschland ?","COLLOCATION",0,872,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Österreichisches","österreichisches","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Darstellung","darstellung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Département Moselle","département moselle","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"↑ Hermann","↑ hermann","COLLOCATION",0,655,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Staaten in","staaten in","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vorläufer","vorläufer","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"↑ Jürgen","↑ jürgen","COLLOCATION",0,581,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schenkungsurkunde","schenkungsurkunde","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dezember","dezember","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutscher Wörter","deutscher wörter","COLLOCATION",0,661,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"↑ Klaus","↑ klaus","COLLOCATION",0,614,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ende des","ende des","COLLOCATION",0,695,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus die","aus die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zeitreise","zeitreise","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Die Stellung","die stellung","COLLOCATION",0,502,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nur ein","nur ein","COLLOCATION",0,536,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Coast (","coast (","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein richtiges","ein richtiges","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Fremdsprache gleichstellt","fremdsprach gleichstellt","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Europäische Kommission","europäisch kommission","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bürgers","bürgers","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf und","auf und","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Kommentar von","kommentar von","COLLOCATION",0,725,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachsystems","sprachsystems","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"seit dem","seit dem","COLLOCATION",0,590,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Goossens :","goossens :","COLLOCATION",0,530,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Geltungsbereiches","geltungsbereiches","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"für politische","für politische","COLLOCATION",0,650,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Polenz :","polenz :","COLLOCATION",0,630,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"gesprochen werden","gesprochen werden","COLLOCATION",0,645,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Verkehrssprachenstatut","verkehrssprachenstatut","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Muttersprachlern und","muttersprachlern und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"FIL Fédération","fil fédération","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"0, 4","0, 4","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Santa Catarina","santa catarina","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und seinen","und seinen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"alpinen schweizerdeutsche","alpinen schweizerdeutsche","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"das Aussprachewörterbuch","das aussprachewörterbuch","COLLOCATION",0,723,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Berücksichtigung von","berücksichtigung von","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach könnten","nach könnten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"offiziellen Status","offiziellen status","COLLOCATION",0,985,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Millionen Menschen","millionen menschen","COLLOCATION",0,655,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Erbwort","erbwort","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schrift","schrift","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein den","ein den","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den letzten","den letzten","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein des","ein des","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"So sind","so sind","COLLOCATION",0,530,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Amtssprachen führen","amtssprachen führen","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Herausbildung","herausbildung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"2008 im","2008 im","COLLOCATION",0,525,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"bei den","bei den","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den deutschsprachigen","den deutschsprachigen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bevölkerung mit","bevölkerung mit","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vereinigten Staaten","vereinigten staaten","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"bei der","bei der","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Das Jiddische","das jiddische","COLLOCATION",0,723,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache","sprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"daher spricht","dah spricht","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Plural )","plural )","COLLOCATION",0,560,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ehemals","ehemals","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Stellung","stellung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den meisten","den meisten","COLLOCATION",0,603,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"0,52 %","0,52 %","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wochenzeitung","wochenzeitung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dichtersprache","dichtersprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ISO 639-","iso 639-","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom 12","vom 12","COLLOCATION",0,608,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Regierungszeit","regierungszeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mehr online","mehr online","COLLOCATION",0,905,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und Schienenverkehrs","und schienenverkehrs","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"In Belgien","in belgien","COLLOCATION",0,540,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache und","sprach und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Das lateinische","das lateinisch","COLLOCATION",0,523,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom 15","vom 15","COLLOCATION",0,652,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"stark durch","stark durch","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutschen Rechtschreibung","deutschen rechtschreibung","COLLOCATION",0,566,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Volkszählung","volkszählung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom 19","vom 19","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"in Slowenien","in slowenien","COLLOCATION",0,540,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vereins","vereins","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Berlin 2014","berlin 2014","COLLOCATION",0,685,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Berlin 2010","berlin 2010","COLLOCATION",0,715,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"dem Dreissigjährigen","dem dreissigjährigen","COLLOCATION",0,774,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"bei diesen","bei diesen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Unterfränkisch Oberfränkisch","unterfränkisch oberfränkisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und zu","und zu","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu Bezeichnung","zu bezeichnung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Grundgesetz","im grundgesetz","COLLOCATION",0,571,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"hoch -","hoch -","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wird und","wird und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf mit","auf mit","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Berlin 2005","berlin 2005","COLLOCATION",0,739,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Südtirol","südtirol","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schweizer Gemeinde Zermatt","schweizer gemeinde zermatt","NAMED_ENTITY",0,850,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ISBN 978-3","isbn 978-3","COLLOCATION",0,928,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nur in","nur in","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Diese Gruppe","diese gruppe","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachverein","sprachverein","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Liste von","liste von","COLLOCATION",0,567,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Kolonialisierung","kolonialisierung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Aussage","aussage","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"an Belgiens","an belgiens","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Language Use","language use","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein die","ein die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zwei bis","zwei bis","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die von","die von","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ausdruck","ausdruck","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und gegenwärtigen","und gegenwärtigen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Liechtensteinisch","liechtensteinisch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"allein für","allein für","COLLOCATION",0,569,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"archive.today )","archive.today )","COLLOCATION",0,560,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"de Moselle","de moselle","COLLOCATION",0,745,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"of European","of european","COLLOCATION",0,950,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"de Gymnastique","de gymnastique","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"York 2000","york 2000","COLLOCATION",0,981,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sinne von","sinn von","COLLOCATION",0,625,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sturz Stroessners","sturz stroessners","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprechern des","sprechern des","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Hochdeutsch","hochdeutsch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"dieser Wörter","dieser wörter","COLLOCATION",0,674,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ersetzt werden","ersetzt werden","COLLOCATION",0,868,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"de Investigação","de investigação","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vorgeschichte","vorgeschichte","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"bis 7","bis 7","COLLOCATION",0,611,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"bei die","bei die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"eine kleine","ein kleine","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Tok Pisin","tok pisin","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"em Política","em política","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schriftsprache war","schriftsprach war","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Südmärkisch (","südmärkisch (","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Teilung","teilung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"an wurde","an wurde","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zusammen rund","zusamm rund","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"über rund","über rund","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auch viele","auch viele","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mainzer","mainzer","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Teil II","teil ii","COLLOCATION",0,837,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Luxemburgische","luxemburgische","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"OLCA )","olca )","COLLOCATION",0,560,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"einer Standardsprache","einer standardsprache","COLLOCATION",0,556,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Begegnungsschule","begegnungsschule","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"unter des","unter des","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"unter starken","unter starken","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schlesisch Thüringisch","schlesisch thüringisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"des Landes","des landes","COLLOCATION",0,695,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mischen oft","misch oft","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Oktober 2014","oktober 2014","COLLOCATION",0,898,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Jahre 2002","jahr 2002","COLLOCATION",0,972,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Subtropen Paraguays","subtrop paraguays","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Consonants","consonants","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zweite hochdeutsche","zweit hochdeutsche","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Linthout","linthout","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aber nur","aber nur","COLLOCATION",0,518,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"unter dem","unter dem","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Reichstag","reichstag","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"unter den","unter den","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Technologie","technologie","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"online verfügbar","online verfügbar","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"dagegen nur","dageg nur","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Original","original","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf basierende","auf basierende","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Überarbeitung","überarbeitung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"( Ripuarisch","( ripuarisch","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ein spricht","ein spricht","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu finden","zu finden","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mit speziellen","mit speziellen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Millionen","millionen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Prozent der","prozent der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"März 2019","märz 2019","COLLOCATION",0,823,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Burgenland gemäss","burgenland gemäss","COLLOCATION",0,932,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Büchern usw","büchern usw","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den mennonitischen","den mennonitischen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"( Pfälzisch","( pfälzisch","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Retrospektive","retrospektive","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Community Survey","community survey","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"– Liste","– liste","COLLOCATION",0,612,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ammon :","ammon :","COLLOCATION",0,556,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Regierung","regierung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der Vokale","der vokale","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Text erfolgen","text erfolgen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der Vereinten","der vereinten","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Fernsehsendung","fernsehsendung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und z","und z","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu dialektale","zu dialektale","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"alphabetisch geordnet","alphabetisch geordnet","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ISBN 3","isbn 3","COLLOCATION",0,876,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Regelbuchs","regelbuchs","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zum zweiten","zum zweiten","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zweitsprachler des","zweitsprachler des","COLLOCATION",0,695,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"FIBT Fédération","fibt fédération","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und wurde","und wurde","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu und","zu und","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein Trend","ein trend","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dialektkurse","dialektkurse","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Diktators","diktators","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"verfügbar )","verfügbar )","COLLOCATION",0,518,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gerichte","gerichte","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Region Elsass","region elsass","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mit gibt","mit gibt","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Konsonantensystem","konsonantensystem","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutsche Einflüsse","deutsch einflüsse","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Westgermanisch","westgermanisch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"heute jedoch","heute jedoch","COLLOCATION",0,581,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Teilweise","teilweise","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Paraguay","paraguay","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"eine Million","eine million","COLLOCATION",0,791,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Luxemburgisch","luxemburgisch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bundesrepublik Deutschland","bundesrepublik deutschland","COLLOCATION",0,872,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Lothringisch )","lothringisch )","COLLOCATION",0,560,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
